name,artist,url,release_date,added_at,created_at
Cautiously Optimistic,Meg Smith,https://open.spotify.com/album/1YZQRY1Xu5FJZ6kaxaZXsD,2022-12-29,2023-08-03,2023-08-20
BAD TIME GOOD TIME,Laura Marano,https://open.spotify.com/album/41DUptL82OsBL8A1nNHUKE,2022-12-30,2023-08-03,2023-08-20
Postcard - worktape,Corey Kent,https://open.spotify.com/album/4s9EMhGHuQDf7DRNt8r49h,2022-12-30,2023-08-03,2023-08-20
Guilty,Loren Gray,https://open.spotify.com/album/7rQjX2ZepaAedLLcl4Fah6,2022-12-30,2023-08-03,2023-08-20
Christmas In Toronto,Mariah the Scientist,https://open.spotify.com/album/1Ka9X6JbpWCNKJorDF0E9g,2022-12-24,2023-08-03,2023-08-20
Maya,Tobias Dray,https://open.spotify.com/album/3L9E8GtsdPSOIyqISsq3Qr,2022-12-29,2023-08-03,2023-08-20
Trajectories,Bruno Major,https://open.spotify.com/album/77ecNwHIYZfoOSgQ1FMSAS,2023-07-21,2023-08-14,2023-08-20
Salamat,Yeng Constantino,https://open.spotify.com/album/79yiG0gcmHpDNQleTLexA5,2023-07-28,2023-08-14,2023-08-20
when i was god,Delaney Bailey,https://open.spotify.com/album/0WXOsTUPDIhkcG9JzWnpVM,2023-07-26,2023-08-14,2023-08-20
Can’t Pretend (Live at Union Chapel),Tom Odell,https://open.spotify.com/album/5tQ85g0ndEwtgzfHJBC3L5,2023-07-28,2023-08-14,2023-08-20
Kahit Sandali,NOBITA,https://open.spotify.com/album/2he9xpWWC6Q7Ny94gwQrYj,2023-07-28,2023-08-14,2023-08-20
ユアーズ,SUDA MASAKI,https://open.spotify.com/album/2KCZ6tmHpxjC5VuRzTtY8R,2023-07-29,2023-08-14,2023-08-20
Gunita,Joshua Feliciano,https://open.spotify.com/album/20GBSnOtLtCpkydt0bovz0,2023-08-04,2023-08-14,2023-08-20
ERE,juan karlos,https://open.spotify.com/album/5Rg4hF4geeE5e01y7Z1JfD,2023-08-04,2023-08-14,2023-08-20
Incognito,Raine,https://open.spotify.com/album/1HtSnYl8tUvfs8pVgJN5xz,2023-08-09,2023-08-14,2023-08-20
Always Gonna Be,Dan + Shay,https://open.spotify.com/album/1WI5hRCxaEOSMUtKxO5fKa,2023-08-04,2023-08-14,2023-08-20
In A Perfect World (with Julia Michaels) - Acoustic,"['Dean Lewis', 'Julia Michaels']",https://open.spotify.com/album/0OujFpzd6JMeFnJWLtVhSK,2023-08-10,2023-08-14,2023-08-20
closer,PEOPLE 1,https://open.spotify.com/album/0e9G7JCQHMSv7g2BHCGxVZ,2023-08-09,2023-08-14,2023-08-20
DAY feat. PUNPEE,"['Nulbarich', 'PUNPEE']",https://open.spotify.com/album/3JSnXlgvU4BlaDHnHXy0L5,2023-08-09,2023-08-14,2023-08-20
Off Duty,Blue Wednesday,https://open.spotify.com/album/4A5TJhJu1oJNn6mm2edu1B,2023-08-07,2023-08-14,2023-08-20
今夜2人だけのダンスを,あたらよ,https://open.spotify.com/album/5vBcyTeKwu2h7JBdkjhURs,2023-08-23,2023-08-14,2023-08-20
Give You Love (feat. Jason Derulo),"['Jessica Mauboy', 'Jason Derulo']",https://open.spotify.com/album/19F2dOW0JWTAuK941khqsA,2023-08-11,2023-08-14,2023-08-20
Deep Diving,No Rome,https://open.spotify.com/album/65YhubUi5rIDZmFr5FINBx,2023-08-08,2023-08-14,2023-08-20
Joy,Post Malone,https://open.spotify.com/album/1F9LY06gadScF4g3g3BrDC,2023-08-02,2023-08-14,2023-08-20
Pandora,Aile The Shota,https://open.spotify.com/album/1Uy81yp95OKaxD86buAmdv,2023-08-09,2023-08-15,2023-08-20
Mr Right (with Meghan Trainor),"['Mae Stephens', 'Meghan Trainor']",https://open.spotify.com/album/1AkVEhlI2czYOj5h0f2xDH,2023-08-04,2023-08-15,2023-08-20
Love U Like That,Lauv,https://open.spotify.com/album/4L1fTiCm419aQYUbfRJ3mA,2023-08-04,2023-08-15,2023-08-20
OKACHIMACHI FRIDAY NIGHT,First Love is Never Returned,https://open.spotify.com/album/7oMz6bjlX6lPjG9iS5uV5y,2023-08-09,2023-08-15,2023-08-20
SUNNY WAVES,TAIKING,https://open.spotify.com/album/75PqNBTeA11HIqY23H0hkv,2023-08-01,2023-08-15,2023-08-20
The Cabin,Haley Blais,https://open.spotify.com/album/57v4x7aRdhztbRW4IiVgFl,2023-08-11,2023-08-15,2023-08-20
Mississippi Or Me,Riley Green,https://open.spotify.com/album/4EFwitX1MR0jelaG29a7cs,2023-08-11,2023-08-15,2023-08-20
Caught Up On You,JP Saxe,https://open.spotify.com/album/6ICcS5WGbZr33DESzK9Xiq,2023-08-11,2023-08-15,2023-08-20
i wish you cheated,Alexander Stewart,https://open.spotify.com/album/1tf89mHJkN2HVQ4xmdUUqy,2023-08-09,2023-08-15,2023-08-20
Beautiful Crazy,Luke Combs,https://open.spotify.com/album/53Oa5Bu0UTU8o8qCTaHKoz,2018-06-01,2023-08-15,2023-08-20
COSAS QUE NO TE DIJE,Saiko,https://open.spotify.com/album/52te2AyrVAYPc04onR1Lfy,2021-09-17,2023-08-16,2023-08-20
Saan?,Maki,https://open.spotify.com/album/2USw0nRD3YRnfofRyufJnR,2023-03-31,2023-08-16,2023-08-20
Nahuhulog,Jed Baruelo,https://open.spotify.com/album/07p7jUJyKz9qVwieHNpxs8,2022-05-13,2023-08-16,2023-08-20
Primera Cita,Carin Leon,https://open.spotify.com/album/52PtAAvfi8ZGTRK5c700y4,2023-05-19,2023-08-16,2023-08-20
Love Me Again,V,https://open.spotify.com/album/1ZBDI1LqnuAKdrePUF2D5m,2023-08-11,2023-08-16,2023-08-20
Revolution,John Summit,https://open.spotify.com/album/6A1uNJqYuAhldH89hy70od,2022-12-26,2023-08-16,2023-08-20
Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/album/1nAQbHeOWTfQzbOoFrvndW,2021-06-25,2023-08-16,2023-08-20
Little Present,Zooey Wonder,https://open.spotify.com/album/5n1aatMPEnYrX3KDFcORjE,2022-12-16,2023-08-16,2023-08-20
Amazing,Hoody,https://open.spotify.com/album/5j6mRb3Yo9jkL7R8hNXt21,2022-12-09,2023-08-16,2023-08-20
Mujuryoku,Mr.Forte,https://open.spotify.com/album/5KBXENJgBKCtN3azIlcGEN,2022-12-12,2023-08-16,2023-08-20
"Till Tomorrow, Trust Tomorrow",Hana Hope,https://open.spotify.com/album/0FzesRZPhYGAKiiRvpTIP3,2022-12-14,2023-08-16,2023-08-20
Tokai no Yurei,ZOOKARADERU,https://open.spotify.com/album/5VVeNDmWcIYvYxwTTH1wWv,2022-11-30,2023-08-16,2023-08-20
FEARLESS - Japanese ver.,LE SSERAFIM,https://open.spotify.com/album/3lkxVHwSi9lcHPWzYZ8eSu,2022-12-14,2023-08-17,2023-08-20
little pieces,young friend,https://open.spotify.com/album/1XlopNNks2Ec52f9TP3lbe,2022-12-16,2023-08-17,2023-08-20
I Wish I Was,David J,https://open.spotify.com/album/4eQ6UpQbulbTGndBqez1Vp,2022-12-16,2023-08-17,2023-08-20
talk every night,dyl dion,https://open.spotify.com/album/3dJAYJpjxDM1vKcKS3W3zE,2022-12-15,2023-08-17,2023-08-20
AdaLINE,Jack Gray,https://open.spotify.com/album/6cEOgTZp3T7lxaUSNCCeN1,2022-12-16,2023-08-17,2023-08-20
MURDER PLOT,Kordhell,https://open.spotify.com/album/55fBYJVENoSR8pMOr7Cmhv,2022-12-15,2023-08-17,2023-08-20
Call Me,Rangga Jones,https://open.spotify.com/album/7kVBQXeu6cfieD0rCWZZCB,2022-03-11,2023-08-18,2023-08-20
the way that we started (taylor),elijah woods,https://open.spotify.com/album/4epDMTI9SL9TRfiuDpbwFO,2022-12-13,2023-08-19,2023-08-20
Ultimate Self,Lani Rose,https://open.spotify.com/album/7GNJ7E8VAFTktjPHM5xFbd,2022-12-16,2023-08-19,2023-08-20
Florida,Junior Varsity,https://open.spotify.com/album/3tUZTMKsWtJZbs55y1tnm7,2022-12-16,2023-08-19,2023-08-20
The Interest Of Time,Dawes,https://open.spotify.com/album/4DpTSOcXvsb3PH9qZaoCPf,2022-12-14,2023-08-19,2023-08-20
Used To It,Michal Leah,https://open.spotify.com/album/4QKovzPdcYflzE9Ooe2z8C,2022-12-16,2023-08-19,2023-08-20
You Are Not Alone,Tom Grennan,https://open.spotify.com/album/68exeZ4qrJuj2Axr5uiKfx,2022-12-16,2023-08-19,2023-08-20
AVO TOAST,Clinton Kane,https://open.spotify.com/album/4gH45jls1Zx5TSREuO53x9,2022-12-16,2023-08-19,2023-08-20
No Horse To Ride,Luke Grimes,https://open.spotify.com/album/3nO6JEsqrqiJwHlRdZr5M8,2022-12-16,2023-08-19,2023-08-20
My Skin,Delaney Bailey,https://open.spotify.com/album/6IiYHjfn55bDxUwcoM083I,2022-12-16,2023-08-19,2023-08-20
On The Day I Leave,Mikey Ferrari,https://open.spotify.com/album/2Kx2vFFoQAUo8iyhp7UFFB,2022-12-14,2023-08-19,2023-08-20
Breaking Point,Leon Thomas,https://open.spotify.com/album/4dyk9fUSB7SfSQE0CbyQI4,2022-12-12,2023-08-19,2023-08-20
Catch Your Eye,Andy Shauf,https://open.spotify.com/album/3sfQAESJhc6JQDLPYvdg00,2022-12-12,2023-08-19,2023-08-20
Songs We Used To Sing,ERNEST,https://open.spotify.com/album/4RGZ7oHIaT5gc1pz7X3xdj,2022-12-16,2023-08-19,2023-08-20
You Never Visit Me - Single Version,Masego,https://open.spotify.com/album/31B0I1DLGYsV7RF2Dszunr,2022-12-12,2023-08-19,2023-08-20
Walk With You,NCT DREAM,https://open.spotify.com/album/6lqazNXadymQLwUh41qW2K,2022-12-16,2023-08-19,2023-08-20
Ditto,NewJeans,https://open.spotify.com/album/7bnqo1fdJU9nSfXQd3bSMe,2022-12-19,2023-08-19,2023-08-20
The Guyana,Jason Gurnsey,https://open.spotify.com/album/28lU3AJmyWVcpd04DGO5DQ,2023-03-06,2023-08-20,2023-08-20
Masungit,Jireh Lim,https://open.spotify.com/album/7rgqwf7yO6w801PUVMCndq,2023-05-19,2023-08-20,2023-08-20
Someone Like You,Ethan Loukas,https://open.spotify.com/album/08K0y4PuNbzNi8tUELOYOt,2023-07-28,2023-08-20,2023-08-20
Lason Mong Halik,Katrina Velarde,https://open.spotify.com/album/7gpgA3dWAViEtfiIoNcj8g,2017-03-17,2023-08-20,2023-08-20
Reflection,"['Ichika Nito', 'Clara Benin']",https://open.spotify.com/album/6DJhmPgDOPNR9aWCg5O8ft,2023-08-05,2023-08-20,2023-08-20
Never Not - Edit,Lauv,https://open.spotify.com/album/6smxm51Ys22ULtICU8Oth8,2018-05-30,2023-05-30,2023-08-27
Ako Muna,Yeng Constantino,https://open.spotify.com/album/79yiG0gcmHpDNQleTLexA5,2023-07-28,2023-08-21,2023-08-27
Everything I Want,Victor Franco,https://open.spotify.com/album/3anhy2RLYZnslzRhyjy0Ep,2023-08-04,2023-08-21,2023-08-27
What's My Name? - OASIS KYOTO Remix,MIYAVI,https://open.spotify.com/album/7AedAnY7fUSVrz5duzLz05,2023-08-09,2023-08-21,2023-08-27
